vehicle_id,speed,battery_temp,motor_torque,energy_consumption,outside_temp,timestamp,temp_difference,anomaly,predicted_temp
EV001,27.93,44.01,184.6,8.4,18.79,2025-12-05 18:28:00,25.22,0,34.94930319091117
EV001,81.85,26.24,113.33,14.2,34.56,2025-12-05 18:28:00,-8.320000000000004,0,34.34668796257672
EV001,88.92,28.47,299.36,11.05,28.52,2025-12-05 18:28:00,-0.0500000000000007,0,33.79869637862723
EV001,49.22,36.92,285.9,12.54,25.44,2025-12-05 18:28:00,11.48,0,34.933218570036935
EV001,35.93,42.11,290.02,10.73,12.33,2025-12-05 18:28:00,29.78,0,35.036123935569165
EV001,63.91,26.26,170.5,19.67,23.56,2025-12-05 18:28:00,2.700000000000003,0,35.43462124317625
EV001,95.48,38.01,251.08,12.4,30.11,2025-12-05 18:28:00,7.899999999999999,0,33.802657970380764
EV001,35.98,40.71,119.69,19.23,22.95,2025-12-05 18:28:00,17.76,0,36.05430481499838
EV001,43.28,41.87,269.91,8.97,12.17,2025-12-05 18:28:00,29.7,0,34.648090360621055
EV001,62.06,36.53,252.2,9.22,24.25,2025-12-05 18:28:00,12.28,0,34.22591890446116
EV001,23.7,42.07,225.17,17.09,30.45,2025-12-05 18:28:00,11.62,0,36.093316981887675
EV001,85.35,40.85,208.84,14.99,30.53,2025-12-05 18:28:00,10.32,0,34.35716364253443
EV001,68.73,27.97,152.92,18.48,15.15,2025-12-05 18:28:00,12.82,0,35.17585950558555
EV001,30.98,34.93,136.85,14.54,29.4,2025-12-05 18:28:00,5.530000000000001,0,35.61222593671167
EV001,70.61,38.34,160.99,9.39,17.16,2025-12-05 18:28:00,21.180000000000003,0,34.040454030790315
EV001,62.75,31.0,167.53,16.2,32.95,2025-12-05 18:28:00,-1.9500000000000028,0,35.046400967628244
EV001,76.92,38.91,243.39,8.8,16.34,2025-12-05 18:28:00,22.57,0,33.817775137644865
EV001,55.13,32.54,280.25,12.12,33.11,2025-12-05 18:28:00,-0.5700000000000003,0,34.74055790028134
